time_ms,state,s1,s2,s3,s4,line_pos,line_error,straight_ms,curve_ms,distance_cm,roll_deg,servo_deg,drive_speed,estimated_distance_cm,error_flags,ultrasonic_ok,mpu_ok,color_ok,all_zero,event_code
2000,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
2100,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
2200,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
2300,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
2400,CALIBRATION,260,260,260,260,0,0,0,0,55.0,1.0,90,0.0,0.0,0,1,1,1,0,0
2500,STRAIGHT_TRACE,270,780,790,280,0,0,0,0,55.0,1.0,90,0.38,1.06,0,1,1,1,0,0
2600,STRAIGHT_TRACE,270,780,790,280,0,0,100,0,55.0,1.0,90,0.38,2.13,0,1,1,1,0,0
2700,STRAIGHT_TRACE,270,780,790,280,0,0,200,0,55.0,1.0,90,0.38,3.19,0,1,1,1,0,0
2800,STRAIGHT_TRACE,270,780,790,280,0,0,300,0,55.0,1.0,90,0.38,4.26,0,1,1,1,0,0
2900,STRAIGHT_TRACE,270,780,790,280,0,0,400,0,55.0,1.0,90,0.38,5.32,0,1,1,1,0,0
3000,STRAIGHT_TRACE,270,780,790,280,0,0,500,0,55.0,1.0,90,0.38,6.38,0,1,1,1,0,0
3100,STRAIGHT_TRACE,270,780,790,280,0,0,600,0,55.0,1.0,90,0.38,7.45,0,1,1,1,0,0
3200,STRAIGHT_TRACE,270,780,790,280,0,0,700,0,55.0,1.0,90,0.38,8.51,0,1,1,1,0,0
3300,STRAIGHT_TRACE,270,780,790,280,0,0,800,0,55.0,1.0,90,0.38,9.58,0,1,1,1,0,0
3400,STRAIGHT_TRACE,270,780,790,280,0,0,900,0,55.0,1.0,90,0.38,10.64,0,1,1,1,0,0
3500,STRAIGHT_TRACE,270,780,790,280,0,0,1000,0,55.0,1.0,90,0.38,11.7,0,1,1,1,0,0
3600,STRAIGHT_TRACE,270,780,790,280,0,0,1100,0,55.0,1.0,90,0.38,12.77,0,1,1,1,0,0
3700,STRAIGHT_TRACE,270,780,790,280,0,0,1200,0,55.0,1.0,90,0.38,13.83,0,1,1,1,0,0
3800,STRAIGHT_TRACE,270,780,790,280,0,0,1300,0,55.0,1.0,90,0.38,14.9,0,1,1,1,0,0
3900,STRAIGHT_TRACE,270,780,790,280,0,0,1400,0,55.0,1.0,90,0.38,15.96,0,1,1,1,0,0
4000,STRAIGHT_TRACE,270,780,790,280,0,0,1500,0,55.0,1.0,90,0.38,17.02,0,1,1,1,0,0
4100,STRAIGHT_TRACE,270,780,790,280,0,0,1600,0,55.0,1.0,90,0.38,18.09,0,1,1,1,0,0
4200,STRAIGHT_TRACE,270,780,790,280,0,0,1700,0,55.0,1.0,90,0.38,19.15,0,1,1,1,0,0
4300,STRAIGHT_TRACE,270,780,790,280,0,0,1800,0,55.0,1.0,90,0.38,20.22,0,1,1,1,0,0
4400,STRAIGHT_TRACE,270,780,790,280,0,0,1900,0,55.0,1.0,90,0.38,21.28,0,1,1,1,0,0
4500,STRAIGHT_TRACE,270,780,790,280,0,0,2000,0,55.0,1.0,90,0.38,22.34,0,1,1,1,0,0
4600,STRAIGHT_TRACE,270,780,790,280,0,0,2100,0,55.0,1.0,90,0.38,23.41,0,1,1,1,0,0
4700,STRAIGHT_TRACE,270,780,790,280,0,0,2200,0,55.0,1.0,90,0.38,24.47,0,1,1,1,0,0
4800,STRAIGHT_TRACE,270,780,790,280,0,0,2300,0,55.0,1.0,90,0.38,25.54,0,1,1,1,0,0
4900,STRAIGHT_TRACE,270,780,790,280,0,0,2400,0,55.0,1.0,90,0.38,26.6,0,1,1,1,0,0
5000,STRAIGHT_TRACE,270,780,790,280,0,0,2500,0,55.0,1.0,90,0.38,27.66,0,1,1,1,0,0
5100,STRAIGHT_TRACE,270,780,790,280,0,0,2600,0,55.0,1.0,90,0.38,28.73,0,1,1,1,0,0
5200,STRAIGHT_TRACE,270,780,790,280,0,0,2700,0,55.0,1.0,90,0.38,29.79,0,1,1,1,0,0
5300,STRAIGHT_TRACE,270,780,790,280,0,0,2800,0,55.0,1.0,90,0.38,30.86,0,1,1,1,0,0
5400,STRAIGHT_TRACE,270,780,790,280,0,0,2900,0,55.0,1.0,90,0.38,31.92,0,1,1,1,0,0
5500,STRAIGHT_TRACE,270,780,790,280,0,0,3000,0,55.0,1.0,90,0.38,32.98,0,1,1,1,0,0
5600,STRAIGHT_TRACE,270,780,790,280,0,0,3100,0,55.0,1.0,90,0.38,34.05,0,1,1,1,0,0
5700,STRAIGHT_TRACE,270,780,790,280,0,0,3200,0,55.0,1.0,90,0.38,35.11,0,1,1,1,0,0
5800,STRAIGHT_TRACE,270,780,790,280,0,0,3300,0,55.0,1.0,90,0.38,36.18,0,1,1,1,0,0
5900,STRAIGHT_TRACE,270,780,790,280,0,0,3400,0,55.0,1.0,90,0.38,37.24,0,1,1,1,0,0
6000,STRAIGHT_TRACE,270,780,790,280,0,0,3500,0,55.0,1.0,90,0.38,38.3,0,1,1,1,0,0
6100,STRAIGHT_TRACE,270,780,790,280,0,0,3600,0,55.0,1.0,90,0.38,39.37,0,1,1,1,0,0
6200,STRAIGHT_TRACE,270,780,790,280,0,0,3700,0,55.0,1.0,90,0.38,40.43,0,1,1,1,0,0
6300,STRAIGHT_TRACE,270,780,790,280,0,0,3800,0,55.0,1.0,90,0.38,41.5,0,1,1,1,0,0
6400,STRAIGHT_TRACE,270,780,790,280,0,0,3900,0,55.0,1.0,90,0.38,42.56,0,1,1,1,0,0
6500,CURVE_TRACE,260,300,760,820,20,2,0,0,55.0,1.0,68,0.22,43.18,0,1,1,1,0,0
6600,CURVE_TRACE,260,300,760,820,20,2,0,100,55.0,1.0,68,0.22,43.79,0,1,1,1,0,0
6700,CURVE_TRACE,260,300,760,820,20,2,0,200,55.0,1.0,68,0.22,44.41,0,1,1,1,0,0
6800,CURVE_TRACE,260,300,760,820,20,2,0,300,55.0,1.0,68,0.22,45.02,0,1,1,1,0,0
6900,CURVE_TRACE,260,300,760,820,20,2,0,400,55.0,1.0,68,0.22,45.64,0,1,1,1,0,0
7000,CURVE_TRACE,260,300,760,820,20,2,0,500,55.0,1.0,68,0.22,46.26,0,1,1,1,0,0
7100,CURVE_TRACE,260,300,760,820,20,2,0,600,55.0,1.0,68,0.22,46.87,0,1,1,1,0,0
7200,CURVE_TRACE,260,300,760,820,20,2,0,700,55.0,1.0,68,0.22,47.49,0,1,1,1,0,0
7300,CURVE_TRACE,260,300,760,820,20,2,0,800,55.0,1.0,68,0.22,48.1,0,1,1,1,0,0
7400,CURVE_TRACE,260,300,760,820,20,2,0,900,55.0,1.0,68,0.22,48.72,0,1,1,1,0,0
7500,CURVE_TRACE,260,300,760,820,20,2,0,1000,55.0,1.0,68,0.22,49.34,0,1,1,1,0,0
7600,CURVE_TRACE,260,300,760,820,20,2,0,1100,55.0,1.0,68,0.22,49.95,0,1,1,1,0,0
7700,CURVE_TRACE,260,300,760,820,20,2,0,1200,55.0,1.0,68,0.22,50.57,0,1,1,1,0,0
7800,CURVE_TRACE,260,300,760,820,20,2,0,1300,55.0,1.0,68,0.22,51.18,0,1,1,1,0,0
7900,CURVE_TRACE,260,300,760,820,20,2,0,1400,55.0,1.0,68,0.22,51.8,0,1,1,1,0,0
8000,CURVE_TRACE,260,300,760,820,20,2,0,1500,55.0,1.0,68,0.22,52.42,0,1,1,1,0,0
8100,CURVE_TRACE,260,300,760,820,20,2,0,1600,55.0,1.0,68,0.22,53.03,0,1,1,1,0,0
8200,CURVE_TRACE,260,300,760,820,20,2,0,1700,55.0,1.0,68,0.22,53.65,0,1,1,1,0,0
8300,CURVE_TRACE,260,300,760,820,20,2,0,1800,55.0,1.0,68,0.22,54.26,0,1,1,1,0,0
8400,CURVE_TRACE,260,300,760,820,20,2,0,1900,55.0,1.0,68,0.22,54.88,0,1,1,1,0,0
8500,CURVE_TRACE,260,300,760,820,20,2,0,2000,55.0,1.0,68,0.22,55.5,0,1,1,1,0,0
8600,CURVE_TRACE,260,300,760,820,20,2,0,2100,55.0,1.0,68,0.22,56.11,0,1,1,1,0,0
8700,CURVE_TRACE,260,300,760,820,20,2,0,2200,55.0,1.0,68,0.22,56.73,0,1,1,1,0,0
8800,CURVE_TRACE,260,300,760,820,20,2,0,2300,55.0,1.0,68,0.22,57.34,0,1,1,1,0,0
8900,CURVE_TRACE,260,300,760,820,20,2,0,2400,55.0,1.0,68,0.22,57.96,0,1,1,1,0,0
9000,CURVE_TRACE,830,770,310,260,-20,-2,0,0,55.0,1.0,112,0.22,58.58,0,1,1,1,0,0
9100,CURVE_TRACE,830,770,310,260,-20,-2,0,100,55.0,1.0,112,0.22,59.19,0,1,1,1,0,0
9200,CURVE_TRACE,830,770,310,260,-20,-2,0,200,55.0,1.0,112,0.22,59.81,0,1,1,1,0,0
9300,CURVE_TRACE,830,770,310,260,-20,-2,0,300,55.0,1.0,112,0.22,60.42,0,1,1,1,0,0
9400,CURVE_TRACE,830,770,310,260,-20,-2,0,400,55.0,1.0,112,0.22,61.04,0,1,1,1,0,0
9500,CURVE_TRACE,830,770,310,260,-20,-2,0,500,55.0,1.0,112,0.22,61.66,0,1,1,1,0,0
9600,CURVE_TRACE,830,770,310,260,-20,-2,0,600,55.0,1.0,112,0.22,62.27,0,1,1,1,0,0
9700,CURVE_TRACE,830,770,310,260,-20,-2,0,700,55.0,1.0,112,0.22,62.89,0,1,1,1,0,0
9800,CURVE_TRACE,830,770,310,260,-20,-2,0,800,55.0,1.0,112,0.22,63.5,0,1,1,1,0,0
9900,CURVE_TRACE,830,770,310,260,-20,-2,0,900,55.0,1.0,112,0.22,64.12,0,1,1,1,0,0
10000,CURVE_TRACE,830,770,310,260,-20,-2,0,1000,55.0,1.0,112,0.22,64.74,0,1,1,1,0,0
10100,CURVE_TRACE,830,770,310,260,-20,-2,0,1100,55.0,1.0,112,0.22,65.35,0,1,1,1,0,0
10200,CURVE_TRACE,830,770,310,260,-20,-2,0,1200,55.0,1.0,112,0.22,65.97,0,1,1,1,0,0
10300,CURVE_TRACE,830,770,310,260,-20,-2,0,1300,55.0,1.0,112,0.22,66.58,0,1,1,1,0,0
10400,CURVE_TRACE,830,770,310,260,-20,-2,0,1400,55.0,1.0,112,0.22,67.2,0,1,1,1,0,0
10500,CURVE_TRACE,830,770,310,260,-20,-2,0,1500,55.0,1.0,112,0.22,67.82,0,1,1,1,0,0
10600,CURVE_TRACE,830,770,310,260,-20,-2,0,1600,55.0,1.0,112,0.22,68.43,0,1,1,1,0,0
10700,CURVE_TRACE,830,770,310,260,-20,-2,0,1700,55.0,1.0,112,0.22,69.05,0,1,1,1,0,0
10800,CURVE_TRACE,830,770,310,260,-20,-2,0,1800,55.0,1.0,112,0.22,69.66,0,1,1,1,0,0
10900,CURVE_TRACE,830,770,310,260,-20,-2,0,1900,55.0,1.0,112,0.22,70.28,0,1,1,1,0,0
11000,CURVE_TRACE,830,770,310,260,-20,-2,0,2000,55.0,1.0,112,0.22,70.9,0,1,1,1,0,0
11100,CURVE_TRACE,830,770,310,260,-20,-2,0,2100,55.0,1.0,112,0.22,71.51,0,1,1,1,0,0
11200,CURVE_TRACE,830,770,310,260,-20,-2,0,2200,55.0,1.0,112,0.22,72.13,0,1,1,1,0,0
11300,CURVE_TRACE,830,770,310,260,-20,-2,0,2300,55.0,1.0,112,0.22,72.74,0,1,1,1,0,0
11400,CURVE_TRACE,830,770,310,260,-20,-2,0,2400,55.0,1.0,112,0.22,73.36,0,1,1,1,0,0
11500,LINE_RECOVERY,220,230,225,235,0,-2,0,0,55.0,1.0,90,0.16,73.81,0,1,1,1,0,1
11600,LINE_RECOVERY,220,230,225,235,0,-2,0,0,55.0,1.0,90,0.16,74.26,0,1,1,1,0,0
11700,LINE_RECOVERY,220,230,225,235,0,-2,0,0,55.0,1.0,90,0.16,74.7,0,1,1,1,0,0
11800,LINE_RECOVERY,220,230,225,235,0,-2,0,0,55.0,1.0,90,0.16,75.15,0,1,1,1,0,0
11900,LINE_RECOVERY,220,230,225,235,0,-2,0,0,55.0,1.0,90,0.16,75.6,0,1,1,1,0,0
12000,LINE_RECOVERY,220,230,225,235,0,-2,0,0,55.0,1.0,90,0.16,76.05,0,1,1,1,0,0
12100,LINE_RECOVERY,220,230,225,235,0,-2,0,0,55.0,1.0,90,0.16,76.5,0,1,1,1,0,0
12200,BACKTRACK,220,230,225,235,0,-2,0,0,55.0,1.0,110,-0.16,76.94,0,1,1,1,0,3
12300,BACKTRACK,220,230,225,235,0,-2,0,0,55.0,1.0,110,-0.16,77.39,0,1,1,1,0,0
12400,BACKTRACK,220,230,225,235,0,-2,0,0,55.0,1.0,110,-0.16,77.84,0,1,1,1,0,0
12500,BACKTRACK,220,230,225,235,0,-2,0,0,55.0,1.0,110,-0.16,78.29,0,1,1,1,0,0
12600,BACKTRACK,220,230,225,235,0,-2,0,0,55.0,1.0,110,-0.16,78.74,0,1,1,1,0,0
12700,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,79.58,0,1,1,1,0,4
12800,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,80.42,0,1,1,1,0,0
12900,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,81.26,0,1,1,1,0,0
13000,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,82.1,0,1,1,1,0,0
13100,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,82.94,0,1,1,1,0,0
13200,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,83.78,0,1,1,1,0,0
13300,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,84.62,0,1,1,1,0,0
13400,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,85.46,0,1,1,1,0,0
13500,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,86.3,0,1,1,1,0,0
13600,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,87.14,0,1,1,1,0,0
13700,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,87.98,0,1,1,1,0,0
13800,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,88.82,0,1,1,1,0,0
13900,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,89.66,0,1,1,1,0,0
14000,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,90.5,0,1,1,1,0,0
14100,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,91.34,0,1,1,1,0,0
14200,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,92.18,0,1,1,1,0,0
14300,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,93.02,0,1,1,1,0,0
14400,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,93.86,0,1,1,1,0,0
14500,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
14600,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
14700,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
14800,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
14900,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
15000,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
15100,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
15200,OBSTACLE_DETECTED,260,750,760,270,0,0,0,0,12.0,1.0,112,0.0,93.86,0,1,1,1,0,0
15300,OBSTACLE_AVOIDANCE,260,750,760,270,0,0,0,0,12.0,1.0,112,0.16,94.3,0,1,1,1,0,0
15400,OBSTACLE_AVOIDANCE,260,750,760,270,0,0,0,0,12.0,1.0,112,0.16,94.75,0,1,1,1,0,0
15500,OBSTACLE_AVOIDANCE,260,750,760,270,0,0,0,0,12.0,1.0,112,0.16,95.2,0,1,1,1,0,0
15600,OBSTACLE_AVOIDANCE,260,750,760,270,0,0,0,0,12.0,1.0,112,0.16,95.65,0,1,1,1,0,0
15700,OBSTACLE_AVOIDANCE,260,750,760,270,0,0,0,0,12.0,1.0,112,0.16,96.1,0,1,1,1,0,0
15800,OBSTACLE_AVOIDANCE,260,750,760,270,0,0,0,0,12.0,1.0,112,0.16,96.54,0,1,1,1,0,0
15900,OBSTACLE_AVOIDANCE,260,750,760,270,0,0,0,0,12.0,1.0,112,0.16,96.99,0,1,1,1,0,0
16000,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,97.83,0,1,1,1,0,0
16100,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,98.67,0,1,1,1,0,0
16200,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,99.51,0,1,1,1,0,0
16300,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,100.35,0,1,1,1,0,0
16400,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,101.19,0,1,1,1,0,0
16500,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,102.03,0,1,1,1,0,0
16600,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,102.87,0,1,1,1,0,0
16700,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,103.71,0,1,1,1,0,0
16800,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,104.55,0,1,1,1,0,0
16900,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,105.39,0,1,1,1,0,0
17000,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,106.23,0,1,1,1,0,0
17100,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,107.07,0,1,1,1,0,0
17200,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,107.91,0,1,1,1,0,0
17300,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,108.75,0,1,1,1,0,0
17400,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,109.59,0,1,1,1,0,0
17500,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,110.43,0,1,1,1,0,0
17600,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,111.27,0,1,1,1,0,0
17700,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,112.11,0,1,1,1,0,0
17800,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,112.95,0,1,1,1,0,0
17900,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,113.79,0,1,1,1,0,0
18000,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,114.63,0,1,1,1,0,0
18100,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,115.47,0,1,1,1,0,0
18200,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,116.31,0,1,1,1,0,0
18300,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,117.15,0,1,1,1,0,0
18400,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,117.99,0,1,1,1,0,0
18500,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,118.83,0,1,1,1,0,0
18600,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,119.67,0,1,1,1,0,0
18700,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,120.51,0,1,1,1,0,0
18800,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,121.35,0,1,1,1,0,0
18900,LINE_TRACE,260,760,780,270,0,0,0,0,55.0,1.0,90,0.3,122.19,0,1,1,1,0,0
19000,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,122.89,0,1,1,1,0,5
19100,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,123.59,0,1,1,1,0,0
19200,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,124.29,0,1,1,1,0,0
19300,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,124.99,0,1,1,1,0,0
19400,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,125.69,0,1,1,1,0,0
19500,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,126.39,0,1,1,1,0,0
19600,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,127.09,0,1,1,1,0,0
19700,LINE_TRACE,830,835,828,832,0,0,0,0,55.0,1.0,90,0.25,127.79,0,1,1,1,0,0
19800,GOAL,830,835,828,832,0,0,0,0,55.0,1.0,90,0.0,127.79,0,1,1,1,0,6
19900,GOAL,830,835,828,832,0,0,0,0,55.0,1.0,90,0.0,127.79,0,1,1,1,0,0
20000,GOAL,830,835,828,832,0,0,0,0,55.0,1.0,90,0.0,127.79,0,1,1,1,0,0
20100,GOAL,830,835,828,832,0,0,0,0,55.0,1.0,90,0.0,127.79,0,1,1,1,0,0
20200,GOAL,830,835,828,832,0,0,0,0,55.0,1.0,90,0.0,127.79,0,1,1,1,0,0
20300,GOAL,830,835,828,832,0,0,0,0,55.0,1.0,90,0.0,127.79,0,1,1,1,0,0
20400,GOAL,830,835,828,832,0,0,0,0,55.0,1.0,90,0.0,127.79,0,1,1,1,0,0
